Date,Close,High,Low,Open,Volume,return_1d,y,sma_5,sma_5_ratio,sma_10,sma_10_ratio,sma_20,sma_20_ratio
2010-01-04,85.51565551757812,85.56092800032499,84.14233455728464,84.79126700898765,118944600,0.0026470490622112,1,,,,,,
2010-01-05,85.74201965332031,85.77975055845255,85.15345437759575,85.46283168028206,111579900,0.0007038382229178,1,,,,,,
2010-01-06,85.8023681640625,86.01364737029019,85.59108895783481,85.65899766401088,116074400,0.0042212150355744,1,,,,,,
2010-01-07,86.16455841064453,86.27019800543312,85.4024392565902,85.64390200995355,131091100,0.0033277665429611,1,,,,,,
2010-01-08,86.4512939453125,86.48902483941386,85.76463657669201,85.93818487293542,126402800,0.001396392166719,1,85.9351791381836,1.0060058617705212,,,,
2010-01-11,86.57201385498047,86.87383793007112,86.20226957622157,86.8361127991474,106375700,-0.0093261163777708,0,86.14645080566406,1.004939995151703,,,,
2010-01-12,85.76463317871094,86.1796442127523,85.43261974593709,85.99854859347836,163333500,0.0084462335546771,1,86.15097351074219,0.9955155430485869,,,,
2010-01-13,86.48902130126953,86.73048404563225,85.545806556583,85.98345382285385,161822000,0.0027045887768033,1,86.28830413818359,1.002326122469211,,,,
2010-01-14,86.72293853759766,86.88139792720277,86.33810530174176,86.39092509827681,115718800,-0.0112241200343206,0,86.39998016357421,1.003737945001978,,,,
2010-01-15,85.74954986572266,86.65503383883663,85.41753638901507,86.57203622658643,212283100,0.0124959016812782,1,86.25963134765625,0.9940866721319758,86.09740524291992,0.9959597461013394,,
2010-01-19,86.8210678100586,86.87388762910928,85.71184585306575,85.73448785288333,139172700,-0.010169149557932,0,86.30944213867187,1.0059278064914927,86.22794647216797,1.00687852792693,,
2010-01-20,85.93817138671875,86.36072970109652,85.2515141258549,86.23245389236402,216490200,-0.0192289868474039,0,86.34414978027344,0.9952981366474994,86.24756164550782,0.996412765150849,,
2010-01-21,84.2856674194336,86.22491670738452,84.18002782841104,85.96081772982816,344859600,-0.0222916678547192,0,85.90347900390626,0.9811671005268704,86.09589157104492,0.9789743259686491,,
2010-01-22,82.40679931640625,84.31586536735463,82.31624861282687,83.90839583663778,345942400,0.0051280299343852,1,85.04025115966797,0.969032877874299,85.7201156616211,0.9613472716451514,,
2010-01-25,82.82938385009766,83.31231533108732,82.55774316762603,83.16139744423782,186937500,-0.0041908097857038,0,84.45621795654297,0.9807375448983234,85.35792465209961,0.9703771991609714,,
2010-01-26,82.48226165771484,83.35756792172538,82.27852975525853,82.50489789610695,211168800,0.0047570486485437,1,83.58845672607421,0.9867661742818813,84.94894943237304,0.9709627041753836,,
2010-01-27,82.8746337890625,83.06327676549745,81.74277593045284,82.3766135679494,271863600,-0.0114721744740458,0,82.97574920654297,0.9987813859055521,84.6599494934082,0.9789119209847307,,
2010-01-28,81.92388153076172,83.1915627167222,81.42586700605982,83.14629023909316,316104000,-0.010868857648222,0,82.50339202880859,0.9929759191253068,84.20343551635742,0.9729280168722704,,
2010-01-29,81.03346252441406,82.85198326700814,80.90518670421905,82.27850710558968,310677600,0.0155506647166079,1,82.22872467041016,0.9854641775026068,83.63448791503906,0.9689000858919914,,
