Date,Close,High,Low,Open,Volume,return_1d,y,ret_1d,ret_5d,ret_10d,mom_5d
2010-01-04,85.51565551757812,85.56092800032499,84.14233455728464,84.79126700898765,118944600,0.0026470490622112,1,,,,
2010-01-05,85.74201965332031,85.77975055845255,85.15345437759575,85.46283168028206,111579900,0.0007038382229178,1,0.0026470490622112486,,,
2010-01-06,85.8023681640625,86.01364737029019,85.59108895783481,85.65899766401088,116074400,0.0042212150355744,1,0.000703838222917863,,,
2010-01-07,86.16455841064453,86.27019800543312,85.4024392565902,85.64390200995355,131091100,0.0033277665429611,1,0.004221215035574488,,,
2010-01-08,86.4512939453125,86.48902483941386,85.76463657669201,85.93818487293542,126402800,0.001396392166719,1,0.003327766542961186,,,
2010-01-11,86.57201385498047,86.87383793007112,86.20226957622157,86.8361127991474,106375700,-0.0093261163777708,0,0.0013963921667190515,0.012352806407303962,,0.012352806407303962
2010-01-12,85.76463317871094,86.1796442127523,85.43261974593709,85.99854859347836,163333500,0.0084462335546771,1,-0.00932611637777081,0.0002637391267672484,,0.0002637391267672484
2010-01-13,86.48902130126953,86.73048404563225,85.545806556583,85.98345382285385,161822000,0.0027045887768033,1,0.008446233554677107,0.008002729433925326,,0.008002729433925326
2010-01-14,86.72293853759766,86.88139792720277,86.33810530174176,86.39092509827681,115718800,-0.0112241200343206,0,0.0027045887768033516,0.00648039213863294,,0.00648039213863294
2010-01-15,85.74954986572266,86.65503383883663,85.41753638901507,86.57203622658643,212283100,0.0124959016812782,1,-0.011224120034320606,-0.008117218928310743,,-0.008117218928310743
2010-01-19,86.8210678100586,86.87388762910928,85.71184585306575,85.73448785288333,139172700,-0.010169149557932,0,0.012495901681278232,0.002876841417774223,0.015265184890176364,0.002876841417774223
2010-01-20,85.93817138671875,86.36072970109652,85.2515141258549,86.23245389236402,216490200,-0.0192289868474039,0,-0.010169149557932022,0.002023423893695364,0.0022876966765132956,0.002023423893695364
2010-01-21,84.2856674194336,86.22491670738452,84.18002782841104,85.96081772982816,344859600,-0.0222916678547192,0,-0.01922898684740393,-0.025475532601541784,-0.017676676962211868,-0.025475532601541784
2010-01-22,82.40679931640625,84.31586536735463,82.31624861282687,83.90839583663778,345942400,0.0051280299343852,1,-0.022291667854719255,-0.04976929165425126,-0.0436114240419998,-0.04976929165425126
2010-01-25,82.82938385009766,83.31231533108732,82.55774316762603,83.16139744423782,186937500,-0.0041908097857038,0,0.005128029934385214,-0.034054592941861084,-0.0418953832837482,-0.034054592941861084
2010-01-26,82.48226165771484,83.35756792172538,82.27852975525853,82.50489789610695,211168800,0.0047570486485437,1,-0.004190809785703853,-0.049974116441828476,-0.047241042632050756,-0.049974116441828476
2010-01-27,82.8746337890625,83.06327676549745,81.74277593045284,82.3766135679494,271863600,-0.0114721744740458,0,0.00475704864854376,-0.03564815899875784,-0.03369686644174685,-0.03564815899875784
2010-01-28,81.92388153076172,83.1915627167222,81.42586700605982,83.14629023909316,316104000,-0.010868857648222,0,-0.011472174474045804,-0.028021204090593943,-0.05278288159379141,-0.028021204090593943
2010-01-29,81.03346252441406,82.85198326700814,80.90518670421905,82.27850710558968,310677600,0.0155506647166079,1,-0.010868857648222097,-0.016665333484427336,-0.06560520329597674,-0.016665333484427336
2010-02-01,82.29358673095703,82.30113405980173,81.11645673588946,81.60692948614266,187865000,0.0121036844132673,1,0.015550664716607931,-0.006468684109860012,-0.04030298864749027,-0.006468684109860012
2010-02-02,83.28964233398438,83.44810173850887,82.1577845100152,82.44452550985375,216327900,-0.004982714936603,0,0.012103684413267368,0.009788537075038128,-0.04067475285837352,0.009788537075038128
2010-02-03,82.8746337890625,83.36510667917872,82.63317100950285,82.91235893019343,172730700,-0.0308658818781309,0,-0.004982714936603072,0.0,-0.03564815899875784,0.0
2010-02-04,80.31663513183594,82.2709735956824,80.3015404699093,82.23324845471932,356715700,0.0020672041790164,1,-0.030865881878130996,-0.019618777441865687,-0.047090239765753106,-0.019618777441865687
